Data,CPF
2/23/2024,315.333.225-77
2/23/2024,315.333.225-77
2/7/2024,315.334.315-23
12/21/2023,315.533.335-14
1/10/2024,315.744.135-57
2/5/2024,315.744.355-55
10/31/2023,317.113.171-73
10/17/2023,317.131.415-37
12/26/2023,317.175.357-54
10/25/2023,317.237.745-51
12/28/2023,317.571.355-75
1/31/2024,317.571.355-75
2/27/2024,317.571.355-75
2/7/2024,317.713.375-23
2/19/2024,317.737.155-17
1/23/2024,317.737.155-17
1/18/2024,317.737.155-17
11/17/2023,317.751.315-77
11/17/2023,317.751.315-77
10/11/2023,321.111.123-33
11/24/2023,321.253.125-24
2/27/2024,321.355.415-71
2/16/2024,321.431.471-32
1/31/2024,321.733.771-33
12/21/2023,322.142.775-35
1/10/2024,322.374.315-31
10/3/2023,322.513.175-55
10/20/2023,322.513.175-55
10/31/2023,322.513.175-55
1/3/2024,323.233.375-27
1/17/2024,323.415.375-32
1/5/2024,323.527.341-42
2/21/2024,324.417.355-11
2/1/2024,324.515.335-73
2/9/2024,324.515.335-73
2/2/2024,324.515.335-73
10/10/2023,324.534.555-77
1/5/2024,324.557.475-44
2/23/2024,324.723.175-53
10/13/2023,325.171.725-73
10/31/2023,325.235.135-54
12/8/2023,325.351.135-35
12/8/2023,325.351.135-35
1/12/2024,325.351.435-32
2/16/2024,325.353.515-31
1/18/2024,325.357.575-13
2/9/2024,325.517.735-73
10/20/2023,325.713.515-33
2/22/2024,325.731.155-52
10/26/2023,327.113.515-37
10/6/2023,327.127.415-35
2/15/2024,327.131.335-55
2/6/2024,327.537.775-33
12/20/2023,327.541.135-21
2/28/2024,331.111.335-71
10/6/2023,331.122.175-53
11/29/2023,331.122.175-53
1/5/2024,331.122.175-53
2/26/2024,331.144.275-43
2/7/2024,331.147.515-21
11/8/2023,331.151.575-72
1/24/2024,331.214.335-33
10/20/2023,331.255.711-45
12/7/2023,331.277.155-41
2/7/2024,331.277.155-41
2/7/2024,331.277.155-41
1/15/2024,331.341.115-57
2/26/2024,331.341.115-57
11/1/2023,331.352.735-55
11/14/2023,331.371.735-22
11/28/2023,331.574.715-23
10/27/2023,331.575.415-37
10/6/2023,331.575.415-37
10/25/2023,331.713.335-43
1/12/2024,331.715.735-42
2/26/2024,331.715.735-42
1/12/2024,331.715.735-42
12/7/2023,331.715.735-42
2/27/2024,331.715.735-42
1/23/2024,331.727.755-15
12/27/2023,331.773.555-55
10/10/2023,332.117.371-73
10/2/2023,332.123.755-55
2/21/2024,332.142.515-13
1/31/2024,332.142.515-13
11/24/2023,332.357.255-33
2/16/2024,333.133.525-32
2/28/2024,333.133.525-32
2/19/2024,333.133.525-32
2/21/2024,333.133.525-32
12/15/2023,333.151.535-25
2/2/2024,333.151.535-25
10/20/2023,333.314.315-23
2/16/2024,333.315.735-32
1/17/2024,333.334.575-42
12/12/2023,333.347.135-53
1/11/2024,333.351.717-73
12/7/2023,333.711.235-22
1/2/2024,333.724.475-41
2/8/2024,334.254.341-31
12/27/2023,334.254.341-31
2/16/2024,334.311.235-33
2/15/2024,334.317.255-12
2/5/2024,334.345.755-14
2/22/2024,334.345.755-14
12/6/2023,334.345.755-14
1/31/2024,334.512.475-32
10/6/2023,335.113.235-77
11/6/2023,335.113.235-77
11/6/2023,335.117.555-77
10/19/2023,335.177.135-55
11/1/2023,335.215.775-35
11/24/2023,335.354.125-77
11/7/2023,335.354.125-77
2/21/2024,335.451.355-25
1/30/2024,335.512.275-37
2/9/2024,335.544.315-53
12/5/2023,335.557.775-71
12/18/2023,335.573.235-35
1/16/2024,335.573.235-35
11/1/2023,335.753.175-35
2/1/2024,337.125.225-32
10/26/2023,337.131.575-13
2/20/2024,337.153.275-74
1/22/2024,337.247.225-37
11/30/2023,337.435.453-33
1/29/2024,337.524.425-51
12/22/2023,337.524.425-51
12/22/2023,337.524.425-51
2/2/2024,337.524.425-51
1/23/2024,337.527.515-57
10/31/2023,337.537.325-33
2/29/2024,337.713.255-31
2/27/2024,337.724.175-54
2/23/2024,337.773.135-17
10/2/2023,341.311.715-13
2/28/2024,341.377.135-33
2/6/2024,342.275.357-47
12/11/2023,342.435.575-13
1/4/2024,342.435.575-13
1/5/2024,342.521.335-47
12/20/2023,342.525.325-55
2/1/2024,343.127.427-73
2/22/2024,343.133.755-32
1/18/2024,343.321.355-22
2/5/2024,343.345.715-37
2/28/2024,343.553.555-72
12/27/2023,343.555.155-33
10/18/2023,343.571.555-45
2/22/2024,344.243.545-37
11/9/2023,344.573.175-45
2/26/2024,345.154.315-73
2/9/2024,345.155.155-71
1/16/2024,345.155.155-71
11/28/2023,345.472.725-73
11/21/2023,345.711.545-77
1/3/2024,345.717.175-17
12/20/2023,345.751.735-35
11/8/2023,345.757.125-22
12/6/2023,347.115.715-33
12/22/2023,347.315.355-27
2/7/2024,347.315.355-27
2/1/2024,347.315.355-27
10/18/2023,347.437.355-33
2/26/2024,347.577.535-21
12/7/2023,347.712.737-31
2/21/2024,347.712.737-31
1/16/2024,347.747.525-13
12/11/2023,347.747.525-13
12/12/2023,347.747.525-13
2/19/2024,347.747.525-13
11/30/2023,347.747.525-13
12/19/2023,347.747.525-13
1/15/2024,347.747.525-13
2/26/2024,347.747.525-13
10/3/2023,347.747.525-13
11/30/2023,351.115.525-53
2/15/2024,351.257.475-23
11/8/2023,351.355.725-71
1/24/2024,351.411.315-27
11/17/2023,351.433.775-77
2/19/2024,351.443.357-41
1/9/2024,351.443.357-41
1/3/2024,351.443.357-41
10/10/2023,351.752.215-43
1/2/2024,351.772.315-57
10/9/2023,351.774.755-33
1/22/2024,352.115.155-35
2/19/2024,352.115.155-35
2/15/2024,352.125.175-32
1/5/2024,352.135.135-55
1/16/2024,352.135.135-55
2/27/2024,352.135.135-55
2/28/2024,352.135.135-55
1/22/2024,352.175.175-11
11/3/2023,352.331.215-71
11/3/2023,352.331.215-71
1/29/2024,352.352.375-15
10/23/2023,352.373.175-73
10/23/2023,352.373.175-73
10/24/2023,352.377.575-21
1/19/2024,352.431.455-42
12/15/2023,352.753.373-15
11/27/2023,353.111.525-17
1/18/2024,353.123.335-73
2/7/2024,353.132.455-33
12/21/2023,353.173.477-13
2/22/2024,353.173.477-13
1/8/2024,353.317.175-11
2/23/2024,353.321.775-33
10/17/2023,353.341.775-13
2/14/2024,353.423.345-57
1/22/2024,353.452.555-45
11/7/2023,353.473.755-73
2/22/2024,353.513.715-35
10/17/2023,353.737.575-13
11/10/2023,353.737.575-13
1/4/2024,353.771.755-55
1/31/2024,353.777.757-53
2/15/2024,354.175.331-44
10/11/2023,354.177.375-53
11/13/2023,354.177.375-53
11/30/2023,354.177.375-53
2/28/2024,354.341.215-72
2/7/2024,354.341.215-72
10/27/2023,354.341.215-72
1/26/2024,354.341.215-72
1/12/2024,354.341.215-72
2/27/2024,354.341.215-72
2/27/2024,354.341.215-72
12/13/2023,354.454.125-33
10/10/2023,354.454.125-33
12/12/2023,354.724.254-35
1/30/2024,354.747.745-37
1/17/2024,354.772.315-13
1/26/2024,355.112.511-31
12/13/2023,355.117.475-73
12/27/2023,355.117.475-73
2/20/2024,355.137.171-33
12/11/2023,355.137.171-33
1/29/2024,355.137.171-33
2/28/2024,355.137.171-33
1/19/2024,355.137.171-33
11/30/2023,355.137.171-33
11/9/2023,355.137.171-33
1/19/2024,355.137.171-33
1/31/2024,355.313.715-51
1/11/2024,355.332.355-31
12/4/2023,355.332.355-31
2/23/2024,355.377.455-47
1/22/2024,355.515.255-33
12/5/2023,355.515.255-33
2/19/2024,355.732.515-37
2/19/2024,355.732.515-37
10/6/2023,355.777.115-72
2/6/2024,357.177.725-33
2/28/2024,357.271.375-11
11/1/2023,357.313.175-15
12/13/2023,357.375.135-34
2/22/2024,357.413.727-31
12/27/2023,357.413.727-31
2/29/2024,357.413.727-31
11/28/2023,357.413.727-31
11/28/2023,357.413.727-31
1/31/2024,357.413.727-31
11/24/2023,357.413.727-31
2/8/2024,357.437.155-17
2/1/2024,357.437.155-17
2/26/2024,357.437.155-17
12/8/2023,357.451.215-42
10/30/2023,357.451.215-42
12/21/2023,357.525.115-25
2/16/2024,357.573.317-75
11/29/2023,357.754.555-33
2/16/2024,357.754.745-33
2/20/2024,357.754.745-33
11/27/2023,371.131.715-47
1/15/2024,371.131.715-47
12/22/2023,371.155.755-14
10/10/2023,371.217.235-73
1/29/2024,371.312.745-71
1/22/2024,371.312.745-71
1/26/2024,371.371.515-31
2/21/2024,371.721.325-57
2/27/2024,371.737.775-35
2/27/2024,371.737.775-35
2/27/2024,371.753.515-53
12/15/2023,372.237.535-71
2/9/2024,372.331.377-17
12/14/2023,373.137.775-32
10/4/2023,373.157.555-13
1/16/2024,373.173.475-12
1/22/2024,373.173.475-12
10/19/2023,373.377.315-51
1/24/2024,373.423.735-41
11/17/2023,373.511.725-43
12/19/2023,373.555.355-14
10/19/2023,373.574.335-35
11/13/2023,373.574.335-35
2/28/2024,373.713.155-55
10/26/2023,373.724.275-75
10/5/2023,373.753.715-14
1/4/2024,374.117.755-41
1/12/2024,374.117.755-41
11/16/2023,374.117.755-41
1/12/2024,374.141.735-41
1/12/2024,374.141.735-41
12/20/2023,374.172.715-75
2/8/2024,374.211.375-31
1/16/2024,374.272.325-37
2/7/2024,374.341.475-35
10/11/2023,374.345.245-53
10/4/2023,374.557.145-57
10/25/2023,374.557.145-57
12/11/2023,374.557.145-57
2/29/2024,374.557.145-57
12/19/2023,374.741.525-75
10/16/2023,374.751.275-35
11/10/2023,374.751.275-35
1/16/2024,375.153.555-13
1/26/2024,375.231.245-55
1/11/2024,375.233.145-13
2/19/2024,375.313.345-42
2/2/2024,375.322.735-14
1/10/2024,375.333.135-51
11/30/2023,375.345.475-14
1/11/2024,375.347.155-43
11/10/2023,375.347.155-43
2/8/2024,375.354.715-53
2/16/2024,375.511.325-11
11/22/2023,375.521.543-72
12/19/2023,375.725.715-15
11/30/2023,375.733.735-32
12/6/2023,375.777.715-14
1/19/2024,377.144.555-31
2/28/2024,377.327.115-51
2/9/2024,377.327.555-53
2/8/2024,377.333.355-35
10/31/2023,377.334.755-23
1/26/2024,377.344.315-44
10/19/2023,377.353.745-35
11/10/2023,377.371.155-51
12/20/2023,377.423.573-35
10/25/2023,377.717.255-14
1/5/2024,377.731.235-55
12/29/2023,377.731.235-55
1/31/2024,377.731.235-55
11/24/2023,377.731.235-55
10/26/2023,377.731.235-55
12/19/2023,377.743.255-32
10/10/2023,377.743.255-32
2/9/2024,377.743.255-32
12/20/2023,377.743.255-32
2/16/2024,377.743.255-32
12/15/2023,377.743.255-32
1/4/2024,377.743.255-32
2/23/2024,377.743.255-32
12/11/2023,377.743.255-32
11/23/2023,377.743.255-32
1/12/2024,377.772.255-21
2/15/2024,411.127.775-12
1/30/2024,411.257.225-37
2/16/2024,411.345.355-25
10/18/2023,411.345.355-25
1/18/2024,411.357.145-11
1/22/2024,411.371.135-73
2/9/2024,412.117.575-71
1/22/2024,412.345.555-25
2/27/2024,413.141.325-77
2/27/2024,413.141.325-77
12/13/2023,413.154.755-57
1/22/2024,413.257.235-77
2/1/2024,413.257.235-77
2/9/2024,413.737.575-13
2/8/2024,415.117.715-15
2/8/2024,415.117.715-15
1/23/2024,415.274.715-32
2/20/2024,415.373.535-12
10/31/2023,415.775.135-17
10/30/2023,415.775.135-17
11/29/2023,417.131.535-15
1/23/2024,417.131.535-15
1/22/2024,417.133.545-22
1/22/2024,417.133.545-22
12/5/2023,417.275.115-13
11/22/2023,417.275.115-13
11/6/2023,417.275.115-13
11/17/2023,417.333.415-51
1/11/2024,417.333.415-51
11/24/2023,417.333.415-51
2/27/2024,417.333.415-51
11/14/2023,417.333.415-51
2/20/2024,417.333.415-51
2/28/2024,417.374.435-21
12/7/2023,417.772.245-44
11/10/2023,421.325.355-15
10/19/2023,421.331.775-31
1/4/2024,422.544.717-23
12/5/2023,422.544.717-23
12/29/2023,423.575.435-57
11/13/2023,424.537.425-73
2/29/2024,425.352.775-74
2/21/2024,427.374.715-17
10/16/2023,427.433.715-55
1/16/2024,431.217.573-57
1/11/2024,431.322.715-71
1/26/2024,431.721.725-24
10/11/2023,432.332.355-73
11/28/2023,432.371.455-13
12/14/2023,432.371.455-13
11/7/2023,432.371.455-13
12/14/2023,433.257.555-75
2/5/2024,433.353.125-31
2/23/2024,433.353.125-31
2/29/2024,433.353.125-31
2/19/2024,433.541.455-33
10/18/2023,433.715.315-45
1/26/2024,434.375.355-55
12/20/2023,434.731.535-14
12/12/2023,435.334.575-31
2/7/2024,435.353.355-12
10/27/2023,435.353.355-12
2/28/2024,435.551.275-41
2/27/2024,435.577.255-53
11/27/2023,437.377.475-57
10/27/2023,437.524.315-23
10/25/2023,437.734.725-54
2/26/2024,442.342.235-43
1/16/2024,442.342.235-43
11/27/2023,442.342.235-43
12/1/2023,442.342.235-43
11/30/2023,442.342.235-43
12/27/2023,442.342.235-43
2/14/2024,442.342.235-43
1/24/2024,442.342.235-43
12/18/2023,442.342.235-43
1/23/2024,442.342.235-43
12/22/2023,443.134.225-55
1/30/2024,444.171.175-57
2/19/2024,444.275.315-73
10/31/2023,447.154.255-23
12/8/2023,451.255.715-12
10/5/2023,451.255.715-12
10/27/2023,451.255.715-12
10/11/2023,451.255.715-12
2/23/2024,451.311.455-22
11/3/2023,451.311.455-22
11/29/2023,451.311.455-22
1/2/2024,451.311.455-22
11/7/2023,451.337.355-27
10/25/2023,451.337.355-27
10/25/2023,451.337.355-27
12/4/2023,451.337.355-27
2/29/2024,451.511.445-42
2/26/2024,451.573.345-33
12/22/2023,451.713.435-37
11/21/2023,452.511.315-51
2/21/2024,453.325.275-12
11/23/2023,453.544.515-41
10/17/2023,453.544.515-41
2/5/2024,453.733.115-54
1/11/2024,454.557.115-24
2/9/2024,455.137.775-71
11/23/2023,457.131.755-73
1/29/2024,457.153.325-77
1/30/2024,457.153.325-77
1/23/2024,457.771.325-33
1/22/2024,471.117.475-34
2/26/2024,471.137.335-42
11/1/2023,471.137.335-42
12/6/2023,471.137.335-42
12/13/2023,471.212.775-11
11/7/2023,471.212.775-11
12/5/2023,471.423.735-55
1/31/2024,471.533.315-55
11/29/2023,472.721.555-44
1/29/2024,473.352.475-14
1/23/2024,475.111.417-23
2/5/2024,475.127.175-51
2/16/2024,475.324.145-11
2/8/2024,475.415.275-45
2/21/2024,477.253.515-37
2/22/2024,477.512.745-13
1/26/2024,511.312.515-77
11/7/2023,511.731.335-35
10/25/2023,511.731.335-35
10/17/2023,511.731.335-35
1/26/2024,515.155.315-34
11/16/2023,515.537.315-33
11/9/2023,515.537.315-33
1/17/2024,517.357.445-23
2/28/2024,517.753.142-34
12/21/2023,527.337.312-72
2/28/2024,527.337.312-72
12/5/2023,527.337.312-72
10/16/2023,527.337.312-72
11/1/2023,531.753.534-15
11/9/2023,537.171.125-23
12/11/2023,537.171.125-23
1/19/2024,537.212.535-35
1/8/2024,542.321.155-34
2/19/2024,542.321.155-34
11/13/2023,545.547.555-22
2/29/2024,547.375.525-41
11/6/2023,552.745.535-41
2/1/2024,557.377.137-34
12/1/2023,574.143.435-53
1/2/2024,577.547.514-41
2/8/2024,577.547.514-41
2/2/2024,577.547.514-41
11/27/2023,577.547.514-41
1/15/2024,577.547.514-41
